Designator;Mid X;Mid Y;Layer;Rotation
R1;97.5342;-85.8985;top;0.0000
R2;90.5342;-101.8988;top;0.0000
R3;97.5342;-117.8985;top;0.0000
R4;128.9978;-85.8985;top;0.0000
R5;121.9978;-101.8988;top;0.0000
R6;128.9978;-117.8985;top;0.0000
SW1;97.5342;-81.7735;top;180.0000
SW2;90.5342;-97.7738;top;180.0000
SW3;97.5342;-113.7735;top;180.0000
SW4;128.9978;-81.7735;top;180.0000
SW5;121.9978;-97.7738;top;180.0000
SW6;128.9978;-113.7735;top;180.0000
