Value;Designator;Footprint;LCSC_part#
100R;R1,R2,R3,R4,R5,R6;R_0805_2012Metric;C17408
SW_SPST;SW1,SW2,SW3,SW4,SW5,SW6;diptronics_ta3;C501583
